"game_id","team","wind","temp"
"2001_01_CHI_BAL","BAL",10,83
"2001_01_NO_BUF","BUF",10,87
"2001_01_NE_CIN","CIN",8,79
"2001_01_SEA_CLE","CLE",12,81
"2001_01_TB_DAL","DAL",10,69
"2001_01_DET_GB","GB",5,60
"2001_01_PIT_JAX","JAX",10,83
"2001_01_OAK_KC","KC",12,64
"2001_01_CAR_MIN","MIN",NA,NA
"2001_01_IND_NYJ","NYJ",6,81
"2001_01_STL_PHI","PHI",5,82
"2001_01_WAS_SD","SD",8,68
"2001_01_ATL_SF","SF",12,68
"2001_01_MIA_TEN","TEN",7,81
"2001_01_NYG_DEN","DEN",9,75
"2001_02_CAR_ATL","ATL",NA,NA
"2001_02_MIN_CHI","CHI",5,63
"2001_02_BAL_CIN","CIN",8,73
"2001_02_DET_CLE","CLE",6,66
"2001_02_SD_DAL","DAL",0,79
"2001_02_BUF_IND","IND",NA,NA
"2001_02_TEN_JAX","JAX",10,84
"2001_02_NYG_KC","KC",14,64
"2001_02_OAK_MIA","MIA",9,88
"2001_02_NYJ_NE","NE",10,74
"2001_02_PHI_SEA","SEA",4,65
"2001_02_STL_SF","SF",10,59
"2001_02_DEN_ARI","ARI",6,103
"2001_02_WAS_GB","GB",12,46
"2001_03_PIT_BUF","BUF",7,63
"2001_03_GB_CAR","CAR",14,64
"2001_03_TB_MIN","MIN",NA,NA
"2001_03_IND_NE","NE",20,59
"2001_03_NO_NYG","NYG",10,54
"2001_03_MIA_STL","STL",NA,NA
"2001_03_KC_WAS","WAS",19,57
"2001_03_ATL_ARI","ARI",20,104
"2001_03_BAL_DEN","DEN",5,71
"2001_03_CLE_JAX","JAX",12,72
"2001_03_SEA_OAK","OAK",7,81
"2001_03_CIN_SD","SD",8,78
"2001_03_DAL_PHI","PHI",13,53
"2001_03_SF_NYJ","NYJ",0,52
"2001_04_CHI_ATL","ATL",NA,NA
"2001_04_TEN_BAL","BAL",11,55
"2001_04_SD_CLE","CLE",12,45
"2001_04_NE_MIA","MIA",0,88
"2001_04_MIN_NO","NO",NA,NA
"2001_04_WAS_NYG","NYG",16,55
"2001_04_ARI_PHI","PHI",17,53
"2001_04_CIN_PIT","PIT",20,44
"2001_04_NYJ_BUF","BUF",16,45
"2001_04_KC_DEN","DEN",9,74
"2001_04_JAX_SEA","SEA",6,50
"2001_04_DAL_OAK","OAK",10,59
"2001_04_GB_TB","TB",9,80
"2001_04_CAR_SF","SF",10,52
"2001_04_STL_DET","DET",NA,NA
"2001_05_SF_ATL","ATL",NA,NA
"2001_05_NO_CAR","CAR",16,71
"2001_05_ARI_CHI","CHI",9,54
"2001_05_CLE_CIN","CIN",10,57
"2001_05_BAL_GB","GB",12,54
"2001_05_PIT_KC","KC",15,57
"2001_05_DET_MIN","MIN",NA,NA
"2001_05_SD_NE","NE",15,59
"2001_05_NYG_STL","STL",NA,NA
"2001_05_TB_TEN","TEN",10,64
"2001_05_MIA_NYJ","NYJ",12,62
"2001_05_DEN_SEA","SEA",7,54
"2001_05_OAK_IND","IND",NA,NA
"2001_05_WAS_DAL","DAL",0,65
"2001_06_BUF_JAX","JAX",13,66
"2001_06_CHI_CIN","CIN",8,68
"2001_06_BAL_CLE","CLE",12,61
"2001_06_TEN_DET","DET",NA,NA
"2001_06_NE_IND","IND",NA,NA
"2001_06_ATL_NO","NO",NA,NA
"2001_06_STL_NYJ","NYJ",10,70
"2001_06_PIT_TB","TB",9,83
"2001_06_CAR_WAS","WAS",7,71
"2001_06_KC_ARI","ARI",2,88
