"game_id","season","team","opponent","spread_line","coach","roof","ats_win","location","epa","pass_yds_per_attempt","rush_yds_per_attempt","int","fumbles_lost","penalty_yards","def_epa","def_pass_yds_per_attempt","def_rush_yds_per_attempt","def_int","forced_fumbles","def_penlty_yards"
"2001_01_CHI_BAL",2001,"BAL","CHI",10.5,"Brian Billick","outdoors","win","home",-0.0778380454302542,10.9166666666667,1.8,0,2,15,-0.24770317013631,5.75,2,2,0,16
"2001_01_NO_BUF",2001,"BUF","NO",-1.5,"Gregg Williams","outdoors","lose","home",-0.340672778847792,10,4.46428571428571,3,0,15,0.0407294286834598,11.6111111111111,4.19230769230769,0,0,0
"2001_01_NE_CIN",2001,"CIN","NE",0,"Dick LeBeau","outdoors","win","home",0.0651167014536576,11.3333333333333,4.75757575757576,0,1,0,0.00495879583472719,10.9545454545455,3.23809523809524,0,0,0
"2001_01_SEA_CLE",2001,"CLE","SEA",-4,"Butch Davis","outdoors","win","home",-0.137322409826734,10.3529411764706,3.6,1,0,0,-0.118707033599451,8.9,3.74074074074074,2,0,15
"2001_01_TB_DAL",2001,"DAL","TB",-9,"Dave Campo","outdoors","win","home",-0.429948473153675,3.77777777777778,4.30434782608696,2,1,10,-0.0295728133174582,7.8,2.15151515151515,1,1,0
"2001_01_DET_GB",2001,"GB","DET",5.5,"Mike Sherman","outdoors","win","home",0.16500982737336,11.8181818181818,6.17241379310345,0,1,8,-0.290031511633452,13.8,2.8,2,1,15
"2001_01_PIT_JAX",2001,"JAX","PIT",3,"Tom Coughlin","outdoors","win","home",-0.0697810350029378,13.2,3.48275862068966,0,0,30,-0.267940491461569,8.61904761904762,4.28571428571429,2,2,6
"2001_01_OAK_KC",2001,"KC","OAK",-3,"Dick Vermeil","outdoors","push","home",-0.105076929232703,13.875,2.05882352941176,1,2,15,0.0192665551957285,11,3.57142857142857,1,2,10
"2001_01_CAR_MIN",2001,"MIN","CAR",10,"Dennis Green","dome","lose","home",-0.176584153387526,10.7272727272727,4.19230769230769,3,2,5,-0.0982498751651468,17.1538461538462,2.39473684210526,1,1,25
"2001_01_IND_NYJ",2001,"NYJ","IND",-1.5,"Herm Edwards","outdoors","lose","home",-0.11560739251979,11.0555555555556,4.75862068965517,0,1,0,0.300814510914543,10.5,5.13333333333333,2,1,15
